product_id,product_name,category_id,brand_id,is_organic_available
P00084,NatureNest_Snacks_Item_24,3,4,True
P00085,FreshFarm_Snacks_Item_25,3,1,True
P00086,CoolSip_Snacks_Item_26,3,13,False
P00087,CrunchyBite_Snacks_Item_27,3,11,False
P00088,TasteCo_Snacks_Item_28,3,9,False
P00089,DailyChoice_Snacks_Item_29,3,5,False
P00090,PureHarvest_Snacks_Item_30,3,2,True
P00091,QuickBuy_Bakery_Item_1,4,8,False
P00092,TasteCo_Bakery_Item_2,4,9,False
P00093,ValueMart_Bakery_Item_3,4,6,False
P00094,CoolSip_Bakery_Item_4,4,13,False
P00095,TasteCo_Bakery_Item_5,4,9,False
P00096,BakeHouse_Bakery_Item_6,4,12,False
P00097,Snackify_Bakery_Item_7,4,10,False
P00098,CrunchyBite_Bakery_Item_8,4,11,False
P00099,TasteCo_Bakery_Item_9,4,9,False
P00100,GreenLeaf_Bakery_Item_10,4,3,True
P00101,DairyPure_Bakery_Item_11,4,14,False
P00102,DailyChoice_Bakery_Item_12,4,5,False
P00103,GreenLeaf_Bakery_Item_13,4,3,True
P00104,DairyPure_Bakery_Item_14,4,14,False
P00105,Snackify_Bakery_Item_15,4,10,False
P00106,TasteCo_Bakery_Item_16,4,9,False
P00107,CoolSip_Bakery_Item_17,4,13,False
P00108,FreshFarm_Bakery_Item_18,4,1,True
P00109,ValueMart_Bakery_Item_19,4,6,False
P00110,GreenLeaf_Bakery_Item_20,4,3,True
P00111,QuickBuy_Bakery_Item_21,4,8,False
P00112,FreshFarm_Bakery_Item_22,4,1,True
P00113,DairyPure_Bakery_Item_23,4,14,False
P00114,GreenLeaf_Bakery_Item_24,4,3,True
P00115,FreshFarm_Bakery_Item_25,4,1,True
P00116,Snackify_Bakery_Item_26,4,10,False
P00117,UrbanEats_Bakery_Item_27,4,15,False
P00118,DairyPure_Bakery_Item_28,4,14,False
P00119,HomeBest_Bakery_Item_29,4,7,False
P00120,NatureNest_Bakery_Item_30,4,4,True
P00121,QuickBuy_Beverages_Item_1,5,8,False
P00122,HomeBest_Beverages_Item_2,5,7,False
P00123,Snackify_Beverages_Item_3,5,10,False
P00124,GreenLeaf_Beverages_Item_4,5,3,True
P00125,UrbanEats_Beverages_Item_5,5,15,False
P00126,Snackify_Beverages_Item_6,5,10,False
P00127,DailyChoice_Beverages_Item_7,5,5,False
P00128,HomeBest_Beverages_Item_8,5,7,False
P00129,DailyChoice_Beverages_Item_9,5,5,False
P00130,GreenLeaf_Beverages_Item_10,5,3,True
P00131,CrunchyBite_Beverages_Item_11,5,11,False
P00132,QuickBuy_Beverages_Item_12,5,8,False
P00133,HomeBest_Beverages_Item_13,5,7,False
P00134,FreshFarm_Beverages_Item_14,5,1,True
P00135,TasteCo_Beverages_Item_15,5,9,False
P00136,TasteCo_Beverages_Item_16,5,9,False
P00137,NatureNest_Beverages_Item_17,5,4,True
P00138,CoolSip_Beverages_Item_18,5,13,False
P00139,ValueMart_Beverages_Item_19,5,6,False
P00140,CrunchyBite_Beverages_Item_20,5,11,False
P00141,FreshFarm_Beverages_Item_21,5,1,True
P00142,DailyChoice_Beverages_Item_22,5,5,False
P00143,DailyChoice_Beverages_Item_23,5,5,False
P00144,CrunchyBite_Beverages_Item_24,5,11,False
P00145,HomeBest_Beverages_Item_25,5,7,False
P00146,GreenLeaf_Beverages_Item_26,5,3,True
P00147,QuickBuy_Beverages_Item_27,5,8,False
P00148,FreshFarm_Beverages_Item_28,5,1,True
P00149,BakeHouse_Beverages_Item_29,5,12,False
P00150,CoolSip_Beverages_Item_30,5,13,False
P00151,Snackify_Dairy_Item_1,6,10,False
P00152,TasteCo_Dairy_Item_2,6,9,False
P00153,NatureNest_Dairy_Item_3,6,4,True
P00154,BakeHouse_Dairy_Item_4,6,12,False
P00155,CoolSip_Dairy_Item_5,6,13,False
P00156,PureHarvest_Dairy_Item_6,6,2,True
P00157,UrbanEats_Dairy_Item_7,6,15,False
P00158,CoolSip_Dairy_Item_8,6,13,False
P00159,ValueMart_Dairy_Item_9,6,6,False
P00160,GreenLeaf_Dairy_Item_10,6,3,True
P00161,ValueMart_Dairy_Item_11,6,6,False
P00162,QuickBuy_Dairy_Item_12,6,8,False
P00163,TasteCo_Dairy_Item_13,6,9,False
P00164,TasteCo_Dairy_Item_14,6,9,False
P00165,TasteCo_Dairy_Item_15,6,9,False
P00166,QuickBuy_Dairy_Item_16,6,8,False
P00167,CoolSip_Dairy_Item_17,6,13,False
P00168,Snackify_Dairy_Item_18,6,10,False
P00169,DailyChoice_Dairy_Item_19,6,5,False
P00170,BakeHouse_Dairy_Item_20,6,12,False
P00171,DailyChoice_Dairy_Item_21,6,5,False
P00172,QuickBuy_Dairy_Item_22,6,8,False
P00173,DairyPure_Dairy_Item_23,6,14,False
P00174,GreenLeaf_Dairy_Item_24,6,3,True
P00175,CrunchyBite_Dairy_Item_25,6,11,False
P00176,NatureNest_Dairy_Item_26,6,4,True
P00177,UrbanEats_Dairy_Item_27,6,15,False
P00178,UrbanEats_Dairy_Item_28,6,15,False
P00179,FreshFarm_Dairy_Item_29,6,1,True
P00180,NatureNest_Dairy_Item_30,6,4,True
