product_id,calories_100g,carbs_g,fiber_g,protein_g,fat_g,healthy_fat_g,saturated_fat_g,added_sugar_g,sodium_mg,potassium_mg,is_whole_grain,is_refined_grain,has_artificial_additives,deep_fried
P00058,43,11,6,3,2,0,0,0,22,283,False,False,False,False
P00059,60,13,5,2,0,1,0,0,26,397,False,False,False,False
P00060,76,15,4,3,0,0,0,0,12,276,False,False,False,False
P00061,48,8,5,2,1,1,0,0,8,346,False,False,False,False
P00062,64,11,5,2,0,1,0,0,27,220,False,False,False,False
P00063,58,15,4,3,0,0,0,0,9,227,False,False,False,False
P00064,77,14,3,1,0,0,0,0,8,305,False,False,False,False
P00065,75,12,2,1,0,0,0,0,20,366,False,False,False,False
P00066,78,9,4,2,2,0,0,0,22,389,False,False,False,False
P00067,32,7,5,1,0,1,0,0,28,274,False,False,False,False
P00068,32,5,4,0,1,1,0,0,9,329,False,False,False,False
P00069,47,8,2,2,0,1,0,0,5,388,False,False,False,False
P00070,80,9,6,1,0,1,0,0,7,302,False,False,False,False
P00071,36,7,3,3,1,0,0,0,17,260,False,False,False,False
P00072,78,9,4,2,2,0,0,0,27,260,False,False,False,False
P00073,72,6,5,2,0,1,0,0,25,275,False,False,False,False
P00074,69,8,3,1,1,0,0,0,18,379,False,False,False,False
P00075,60,13,3,1,2,0,0,0,7,344,False,False,False,False
P00076,33,13,6,1,2,0,0,0,21,313,False,False,False,False
P00077,73,8,6,3,0,1,0,0,9,331,False,False,False,False
P00078,59,14,2,3,2,1,0,0,13,200,False,False,False,False
P00079,43,14,2,0,1,1,0,0,7,320,False,False,False,False
P00080,48,11,3,1,2,1,0,0,19,296,False,False,False,False
P00081,35,15,6,1,2,1,0,0,22,300,False,False,False,False
P00082,38,8,2,0,1,1,0,0,12,263,False,False,False,False
P00083,52,7,4,1,2,0,0,0,24,396,False,False,False,False
P00084,31,8,3,0,0,0,0,0,12,389,False,False,False,False
P00085,55,12,3,1,0,0,0,0,28,347,False,False,False,False
P00086,66,14,4,1,1,0,0,0,14,270,False,False,False,False
P00087,65,14,3,3,2,1,0,0,25,371,False,False,False,False
P00088,80,13,4,3,1,0,0,0,10,393,False,False,False,False
P00089,60,8,3,2,2,0,0,0,22,305,False,False,False,False
P00090,65,13,3,3,0,1,0,0,25,220,False,False,False,False
P00091,58,10,2,1,0,1,0,0,7,248,False,False,False,False
P00092,78,14,6,1,1,0,0,0,5,254,False,False,False,False
P00093,42,6,5,1,2,0,0,0,22,282,False,False,False,False
P00094,48,11,5,2,1,1,0,0,19,225,False,False,False,False
P00095,76,12,4,1,1,1,0,0,23,256,False,False,False,False
P00096,39,5,4,3,1,0,0,0,12,297,False,False,False,False
P00097,45,12,6,2,1,1,0,0,10,387,False,False,False,False
P00098,52,7,3,3,0,0,0,0,26,212,False,False,False,False
P00099,30,11,3,1,0,0,0,0,21,316,False,False,False,False
P00100,33,14,6,3,2,1,0,0,22,341,False,False,False,False
P00101,451,40,3,7,29,1,14,20,409,62,False,True,True,True
P00102,517,48,3,5,32,1,13,27,770,122,False,True,True,False
P00103,537,66,1,3,22,4,14,27,865,110,True,True,True,True
P00104,460,55,4,5,23,5,8,22,516,138,False,True,True,True
P00105,459,61,3,7,21,2,13,15,512,125,True,True,True,False
P00106,500,69,1,5,25,5,11,27,853,92,False,True,True,False
P00107,538,63,1,7,31,1,9,28,537,59,False,True,True,False
P00108,500,64,3,3,28,4,15,22,664,120,False,True,True,True
P00109,524,61,4,3,29,2,9,17,574,69,False,True,True,False
P00110,544,52,3,5,23,1,8,24,755,96,False,True,True,True
P00111,473,53,4,7,33,1,8,17,662,120,True,True,True,True
P00112,499,40,3,6,32,1,11,20,689,71,True,True,True,True
P00113,468,42,2,6,28,4,12,30,378,96,False,True,True,True
P00114,513,59,2,6,23,2,12,15,705,92,False,True,True,True
P00115,492,54,3,6,24,3,13,21,790,90,True,True,True,True
P00116,487,63,4,7,27,3,14,23,702,96,True,True,True,True
P00117,519,45,1,6,26,4,12,17,718,136,False,True,True,False
P00118,482,61,2,6,32,1,15,30,896,101,False,True,True,False
P00119,538,53,1,5,22,1,11,26,470,132,False,True,True,True
P00120,536,60,4,5,33,1,8,18,564,78,False,True,True,True
P00121,538,58,2,6,31,4,15,19,653,53,False,True,True,True
P00122,460,43,2,5,29,3,15,21,833,111,False,True,True,True
P00123,539,54,3,3,29,1,9,15,651,132,True,True,True,False
P00124,544,47,2,7,25,3,14,29,537,101,False,True,True,True
P00125,505,52,1,7,26,4,14,27,304,140,False,True,True,True
P00126,458,58,1,7,25,3,13,21,768,64,False,True,True,False
P00127,531,50,4,7,32,5,9,26,660,108,False,True,True,False
P00128,488,69,1,4,30,1,11,24,419,73,False,True,True,True
P00129,503,59,2,7,32,4,10,30,850,138,False,True,True,False
P00130,521,45,4,5,24,2,13,29,354,95,False,True,True,True
P00131,499,70,4,6,35,4,15,30,471,60,False,True,True,False
P00132,487,41,3,4,29,2,15,30,862,115,True,True,True,True
P00133,519,66,3,7,21,4,11,28,404,144,False,True,True,False
P00134,454,54,3,5,22,4,9,22,514,144,False,True,True,True
P00135,528,60,4,4,24,2,11,16,883,94,False,True,True,True
P00136,491,62,3,5,28,5,9,19,721,57,False,True,True,False
P00137,539,67,2,4,24,3,11,27,801,68,False,True,True,True
P00138,498,54,1,3,32,5,12,26,765,112,False,True,True,True
P00139,543,42,4,5,22,5,14,21,739,77,False,True,True,True
P00140,493,57,2,7,35,3,8,16,401,130,False,True,True,True
P00141,470,54,4,3,33,2,10,24,462,85,True,True,True,True
P00142,497,61,2,3,32,3,11,28,393,140,True,True,True,True
P00143,466,58,2,7,34,1,8,25,423,104,False,True,True,True
P00144,499,42,1,3,30,3,12,19,691,149,False,True,True,False
P00145,536,44,1,7,20,5,10,29,659,142,False,True,True,False
P00146,502,59,4,4,22,1,10,18,693,94,False,True,True,True
P00147,481,48,1,4,29,1,12,21,830,127,False,True,True,False
P00148,532,41,2,6,32,1,11,30,372,117,False,True,True,True
P00149,490,44,4,7,33,3,10,30,374,52,False,True,True,True
P00150,455,69,1,6,29,5,14,28,711,60,False,True,True,True
P00151,485,42,3,3,26,2,13,27,900,131,False,True,True,False
P00152,458,49,4,4,21,2,9,28,418,108,False,True,True,True
P00153,544,61,2,3,20,2,8,20,808,94,False,True,True,False
P00154,483,45,3,4,28,1,8,25,739,84,False,True,True,True
P00155,530,42,4,6,31,1,15,20,676,70,False,True,True,True
P00156,536,63,1,4,20,1,8,22,347,110,False,True,True,False
P00157,454,57,4,4,30,2,14,25,577,59,False,True,True,True
P00158,456,45,2,7,21,4,9,29,589,149,False,True,True,True
P00159,508,40,3,4,29,5,12,22,775,97,False,True,True,True
P00160,549,46,2,4,20,4,8,22,854,94,False,True,True,False
P00161,492,40,4,5,23,2,11,28,803,57,False,True,True,True
P00162,461,41,2,7,33,3,15,17,894,62,False,True,True,False
P00163,459,58,1,6,24,2,12,23,622,100,False,True,True,False
P00164,507,48,2,3,26,2,9,19,408,71,False,True,True,True
P00165,518,51,2,6,29,4,12,18,392,70,False,True,True,True
P00166,539,59,1,4,30,2,9,22,664,100,False,True,True,False
P00167,472,40,4,6,27,1,15,18,443,65,True,True,True,False
P00168,466,46,4,5,22,5,12,17,322,58,True,True,True,False
P00169,466,42,3,3,21,4,8,20,887,105,False,True,True,True
P00170,498,61,4,4,31,2,10,23,586,107,False,True,True,True
P00171,528,47,3,6,33,5,15,16,389,85,False,True,True,True
P00172,517,47,1,6,31,4,15,26,879,114,False,True,True,True
P00173,490,59,2,3,28,1,15,26,898,79,False,True,True,True
P00174,480,48,1,4,32,3,10,20,542,125,False,True,True,False
P00175,525,40,3,7,24,5,11,30,855,89,True,True,True,True
P00176,479,59,2,3,35,1,13,21,433,93,False,True,True,False
P00177,491,41,1,4,24,1,13,17,682,140,False,True,True,True
P00178,493,49,3,4,25,4,15,25,478,140,False,True,True,False
P00179,528,65,3,4,25,4,12,24,430,72,False,True,True,False
P00180,500,67,1,4,30,5,11,18,808,68,False,True,True,True
P00181,490,45,1,5,34,1,12,21,555,138,True,True,True,True
P00182,542,40,1,6,34,4,10,28,804,98,False,True,True,True
P00183,511,65,2,4,34,1,8,24,320,90,False,True,True,True
P00184,471,68,4,4,22,5,9,25,794,140,True,True,True,False
P00185,527,68,4,4,21,1,13,21,494,102,False,True,True,False
P00186,519,48,3,5,27,1,8,27,885,120,False,True,True,True
P00187,450,53,1,5,35,2,9,15,511,71,False,True,True,False
P00188,464,49,4,6,35,3,9,27,489,97,False,True,True,True
P00189,455,48,4,6,28,2,12,16,454,146,False,True,True,True
P00190,494,65,4,7,27,5,8,27,835,103,False,True,True,False
P00191,510,58,2,6,29,1,14,16,814,123,False,True,True,False
P00192,529,44,1,6,25,2,11,21,429,55,False,True,True,False
P00193,475,66,2,7,28,3,9,17,697,121,False,True,True,True
P00194,516,54,1,7,33,1,14,19,451,122,False,True,True,False
P00195,463,58,1,5,31,4,12,27,797,123,False,True,True,True
P00196,501,44,4,3,32,3,11,16,786,84,False,True,True,True
P00197,488,49,3,6,23,2,10,24,753,149,False,True,True,True
P00198,527,60,1,4,34,2,14,30,828,97,False,True,True,True
P00199,458,49,4,4,20,2,11,21,359,81,True,True,True,True
P00200,540,46,3,5,34,5,14,18,331,80,False,True,True,True
P00201,100,23,0,1,1,0,0,14,13,44,False,False,True,False
P00202,113,29,0,0,1,0,0,25,62,52,False,False,True,False
P00203,41,20,0,2,1,0,0,13,87,71,False,False,False,False
P00204,75,18,0,1,3,0,0,19,48,63,False,False,True,False
P00205,90,23,0,0,2,0,0,8,71,24,False,False,True,False
P00206,81,13,0,2,2,0,0,21,40,77,False,False,True,False
P00207,116,17,0,2,1,0,0,14,43,78,False,False,True,False
P00208,44,23,0,1,1,0,0,21,48,74,False,False,True,False
P00209,111,10,0,0,3,0,0,22,33,80,False,False,True,False
P00210,51,12,0,0,2,0,0,16,43,57,False,False,True,False
P00211,55,20,0,2,0,0,0,21,25,75,False,False,True,False
P00212,78,18,0,0,1,0,0,18,82,77,False,False,False,False
P00213,58,15,0,0,3,0,0,15,91,23,False,False,True,False
P00214,66,29,0,2,1,0,0,9,88,47,False,False,True,False
P00215,94,20,0,0,0,0,0,5,51,68,False,False,False,False
P00216,42,26,0,2,1,0,0,14,26,26,False,False,True,False
P00217,79,10,0,0,2,0,0,21,86,53,False,False,True,False
P00218,57,15,0,1,1,0,0,5,39,34,False,False,False,False
P00219,67,28,0,2,1,0,0,25,14,44,False,False,False,False
P00220,108,24,0,2,0,0,0,6,98,27,False,False,True,False
P00221,55,22,0,1,1,0,0,14,63,62,False,False,True,False
P00222,74,24,0,1,0,0,0,8,23,51,False,False,True,False
P00223,73,21,0,1,3,0,0,6,80,51,False,False,False,False
P00224,101,15,0,0,0,0,0,23,95,51,False,False,True,False
P00225,105,7,0,1,1,0,0,13,69,23,False,False,True,False
P00226,45,14,0,2,2,0,0,8,15,20,False,False,False,False
P00227,61,15,0,1,2,0,0,15,33,27,False,False,True,False
P00228,74,17,0,1,1,0,0,6,30,26,False,False,True,False
P00229,101,30,0,0,3,0,0,9,71,78,False,False,True,False
P00230,92,19,0,0,2,0,0,21,83,66,False,False,True,False
P00231,83,21,0,1,1,0,0,25,59,29,False,False,False,False
P00232,118,6,0,2,1,0,0,10,19,68,False,False,True,False
P00233,82,13,0,2,1,0,0,12,20,49,False,False,True,False
P00234,97,7,0,1,2,0,0,25,12,26,False,False,True,False
P00235,111,22,0,0,2,0,0,15,56,72,False,False,True,False
P00236,98,15,0,2,2,0,0,8,94,34,False,False,True,False
P00237,77,22,0,2,0,0,0,20,27,72,False,False,False,False
P00238,92,8,0,2,1,0,0,17,37,49,False,False,False,False
P00239,83,8,0,0,0,0,0,23,74,28,False,False,False,False
P00240,107,28,0,2,3,0,0,23,32,66,False,False,False,False
P00241,89,26,0,2,3,0,0,13,60,41,False,False,False,False
P00242,57,9,0,2,2,0,0,11,36,59,False,False,False,False
P00243,84,26,0,2,1,0,0,16,81,50,False,False,True,False
P00244,93,26,0,1,0,0,0,17,28,23,False,False,True,False
P00245,74,29,0,1,2,0,0,14,36,68,False,False,True,False
P00246,97,8,0,2,3,0,0,6,58,44,False,False,True,False
P00247,80,22,0,0,2,0,0,12,91,65,False,False,False,False
P00248,115,22,0,2,1,0,0,10,97,24,False,False,True,False
P00249,105,8,0,0,3,0,0,9,30,57,False,False,False,False
P00250,82,19,0,0,1,0,0,25,88,73,False,False,True,False
P00251,193,12,0,9,9,2,4,4,88,250,False,False,False,False
P00252,189,12,0,9,9,2,4,5,122,192,False,False,False,False
P00253,216,12,0,16,4,1,5,3,110,232,False,False,False,False
P00254,151,4,0,14,5,4,5,4,172,186,False,False,True,False
P00255,218,9,0,15,4,3,4,2,145,160,False,False,False,False
P00256,218,12,0,18,5,2,4,6,167,204,False,False,False,False
P00257,188,10,0,18,6,1,6,5,122,154,False,False,True,False
P00258,142,8,0,17,7,3,6,3,137,230,False,False,False,False
P00259,122,10,0,16,4,1,7,0,169,159,False,False,False,False
P00260,133,8,0,17,5,3,6,3,130,234,False,False,True,False
P00261,188,7,0,14,12,3,4,2,166,243,False,False,False,False
P00262,190,12,0,9,4,1,7,4,130,218,False,False,False,False
P00263,159,7,0,11,10,2,4,1,108,228,False,False,False,False
P00264,134,6,0,16,11,1,5,5,88,182,False,False,True,False
P00265,194,11,0,13,6,2,3,2,159,158,False,False,False,False
P00266,182,11,0,17,8,2,7,4,126,190,False,False,False,False
P00267,120,9,0,11,10,3,5,1,166,243,False,False,False,False
P00268,179,11,0,12,11,1,4,5,157,160,False,False,False,False
P00269,137,12,0,12,5,1,3,6,144,230,False,False,True,False
P00270,194,10,0,8,12,3,7,4,140,233,False,False,False,False
P00271,170,7,0,10,11,1,6,2,144,151,False,False,False,False
P00272,198,6,0,15,6,2,7,4,164,168,False,False,False,False
P00273,165,4,0,15,7,1,5,2,109,155,False,False,False,False
P00274,166,10,0,15,4,1,5,0,170,216,False,False,False,False
P00275,214,8,0,14,10,3,7,5,194,159,False,False,False,False
P00276,148,12,0,13,9,4,6,4,80,214,False,False,False,False
P00277,141,7,0,16,8,2,4,1,100,196,False,False,False,False
P00278,135,7,0,13,5,4,6,3,106,225,False,False,True,False
P00279,172,4,0,8,6,2,4,5,145,155,False,False,False,False
P00280,127,6,0,10,12,4,7,4,161,152,False,False,False,False
P00281,204,8,0,11,11,4,6,1,108,202,False,False,False,False
P00282,194,6,0,10,9,4,7,4,88,179,False,False,False,False
P00283,133,4,0,16,12,4,4,4,92,172,False,False,False,False
P00284,196,4,0,9,11,2,7,4,185,150,False,False,False,False
P00285,206,10,0,13,4,4,4,6,141,248,False,False,False,False
P00286,214,5,0,10,8,4,4,6,90,186,False,False,False,False
P00287,172,8,0,8,4,1,7,0,128,233,False,False,True,False
P00288,160,10,0,9,6,4,7,2,113,218,False,False,False,False
P00289,198,8,0,11,10,4,4,2,151,221,False,False,False,False
P00290,193,9,0,10,5,2,6,6,169,170,False,False,True,False
P00291,171,9,0,10,10,1,3,6,98,210,False,False,False,False
P00292,131,5,0,11,9,1,7,0,172,199,False,False,False,False
P00293,198,12,0,17,4,2,6,3,81,175,False,False,False,False
P00294,186,8,0,8,12,2,7,1,166,154,False,False,False,False
P00295,120,6,0,12,10,3,6,3,155,175,False,False,False,False
P00296,210,5,0,16,8,3,5,6,115,178,False,False,False,False
P00297,178,10,0,12,6,4,7,0,151,159,False,False,False,False
P00298,134,12,0,16,8,4,6,4,141,248,False,False,True,False
P00299,219,11,0,17,4,4,3,2,88,198,False,False,False,False
P00300,206,7,0,14,9,1,5,1,116,161,False,False,False,False
